"0","[20235, 15659, 19676, 15136, 20232, 18017, 20232, 20235, 12096]","[1338999641, 1339000645, 1339001514, 1339010822, 1339012493, 1339031519, 1339031814, 1339036120, 1339036344]","[119, 119, 44, 66, 116, 66, 116, 119, 174]"
"0","[20235, 20235, 19620, 12096, 20235]","[1339085816, 1339126874, 1339127086, 1339127296, 1339169141]","[119, 119, 113, 174, 119]"
"0","[22909, 1921, 23870, 5139, 4005, 20235, 12096]","[1339204256, 1339206937, 1339207503, 1339207963, 1339213098, 1339216496, 1339216877]","[119, 119, 36, 53, 116, 119, 174]"
"0","[20232, 9047, 18017, 20232, 16210, 22146, 15016, 20235, 12096, 20235, 15659, 15016, 3498]","[1339265996, 1339266753, 1339280247, 1339280631, 1339281864, 1339282271, 1339282540, 1339302999, 1339303135, 1339339504, 1339340444, 1339341096, 1339341489]","[116, 44, 66, 116, 116, 174, 119, 119, 174, 119, 119, 119, 119]"
"0","[3498, 20235, 12096]","[1339382216, 1339384495, 1339384750]","[119, 119, 174]"
"0","[6940, 19888, 21004, 10442, 23523, 22909, 3498, 22593, 15016, 20235, 12096, 20235, 15016]","[1339453945, 1339454266, 1339454519, 1339459704, 1339460818, 1339461428, 1339462259, 1339464508, 1339472443, 1339474436, 1339474744, 1339511647, 1339513663]","[119, 119, 136, 44, 119, 119, 119, 78, 119, 119, 174, 119, 119]"
"0","[3498, 15016, 12096, 20235, 3498]","[1339554913, 1339558487, 1339560553, 1339600196, 1339602304]","[119, 119, 174, 119, 119]"
"0","[23339, 10549, 20235, 12096]","[1339640764, 1339641002, 1339643606, 1339644022]","[119, 119, 119, 174]"
"0","[15142, 15142]","[1339725782, 1339727247]","[216, 216]"
"0","[20235, 19888, 21004, 239, 3463, 13313, 7351, 19624, 20200, 1357, 11527, 18690, 21693]","[1339871193, 1339872361, 1339872553, 1339873566, 1339877156, 1339877293, 1339877811, 1339879358, 1339880827, 1339883759, 1339885195, 1339887251, 1339887554]","[119, 119, 136, 136, 119, 62, 219, 62, 153, 174, 136, 136, 119]"
"0","[22146, 15016]","[1347501888, 1347503854]","[174, 119]"
"0","[20235, 20361, 5387, 12096, 15016, 3498]","[1347595594, 1347596054, 1347596066, 1347596109, 1347635259, 1347635593]","[119, 35, 66, 174, 119, 119]"
"0","[3498, 22146, 15136, 15136, 15136, 15016, 20235, 5387, 12096, 20235, 15016, 3498]","[1347677257, 1347677454, 1347678370, 1347678608, 1347678608, 1347679019, 1347680192, 1347680738, 1347681077, 1347720820, 1347722424, 1347722796]","[119, 174, 66, 66, 66, 119, 119, 66, 174, 119, 119, 119]"
"0","[21142, 4005]","[1349667564, 1349667942]","[119, 116]"
"0","[20210, 6886, 15016, 12096, 20235, 4005, 21142]","[1349979470, 1349982891, 1350021839, 1350023927, 1350053825, 1350056139, 1350056636]","[116, 44, 119, 174, 119, 116, 119]"
"0","[10256, 3498, 8409, 3010, 22146, 15016, 20235, 12096]","[1350094934, 1350096039, 1350096431, 1350098301, 1350099348, 1350102040, 1350104071, 1350104351]","[119, 119, 153, 178, 174, 119, 119, 174]"
"0","[22593, 18271, 20235, 20361]","[1350353385, 1350359596, 1350363427, 1350363885]","[78, 44, 119, 35]"
"0","[18993, 15136, 19080, 8409, 16397, 12096]","[1350434373, 1350437515, 1350440010, 1350440368, 1350442404, 1350444452]","[153, 66, 174, 153, 119, 174]"
"0","[20235, 15659, 15016, 3498]","[1350571291, 1350572142, 1350572857, 1350573215]","[119, 119, 119, 119]"
"0","[8913, 12096]","[1350627361, 1350629254]","[116, 174]"
"0","[21142, 4005, 20235, 20361]","[1350876461, 1350876849, 1350880805, 1350881419]","[119, 116, 119, 35]"
"0","[15997, 1083, 933, 15997, 15016, 11673, 22593, 15579, 22146, 15016, 20235, 20361, 5387]","[1350933495, 1350933561, 1350944380, 1350946392, 1350954505, 1350955644, 1350958567, 1350963521, 1350963690, 1350963967, 1350965900, 1350966491, 1350966506]","[44, 136, 136, 44, 119, 59, 78, 53, 174, 119, 119, 35, 66]"
"0","[20235, 15016, 19276, 20592, 20592, 19276, 10257, 15016, 20235]","[1351010739, 1351011674, 1351018297, 1351018660, 1351043324, 1351043607, 1351044369, 1351045947, 1351047974]","[119, 119, 116, 119, 119, 116, 116, 119, 119]"
"0","[5387, 11209, 1921, 22909, 19025, 22909, 3498, 15016, 20361, 12096, 20235]","[1351097134, 1351129788, 1351131746, 1351132182, 1351134736, 1351135331, 1351136063, 1351136324, 1351138141, 1351138199, 1351176197]","[66, 66, 119, 119, 209, 119, 119, 119, 35, 174, 119]"
"0","[5387]","[1351223527]","[66]"
"0","[20235, 15016, 3498, 3498, 22146, 22296, 5161, 6258, 21143, 20235, 21968]","[1351269740, 1351270806, 1351286179, 1351305865, 1351305969, 1351307315, 1351309564, 1351310323, 1351310564, 1351314049, 1351314358]","[119, 119, 119, 119, 174, 106, 230, 230, 53, 119, 32]"
"0","[20235, 21693, 18690, 19094, 7351, 20200, 4542, 3463, 9152, 7719, 10368, 1083, 12081]","[1351375410, 1351376024, 1351376277, 1351378283, 1351378583, 1351382619, 1351383889, 1351384800, 1351385549, 1351385777, 1351387752, 1351389000, 1351398407]","[119, 119, 136, 136, 219, 153, 136, 119, 119, 136, 136, 136, 66]"
"0","[20235, 19888, 15142, 12812, 8913, 15659, 20235, 3772, 15997]","[1351445744, 1351446802, 1351465870, 1351468665, 1351469481, 1351469944, 1351470597, 1351478580, 1351479310]","[119, 119, 216, 116, 116, 119, 119, 174, 44]"
"0","[20235, 6266, 1072, 17301, 17171, 10257, 11078, 24376, 24106, 1679, 17291, 19693, 4854, 11078, 10257, 19080, 8409, 22296, 18062, 15016, 20361, 12096, 20235, 15659]","[1351618500, 1351620505, 1351620670, 1351621102, 1351627491, 1351627711, 1351629161, 1351629723, 1351631093, 1351640784, 1351641218, 1351641664, 1351644797, 1351644953, 1351646280, 1351646507, 1351648274, 1351650691, 1351653605, 1351655707, 1351657617, 1351657674, 1351693833, 1351694682]","[119, 119, 136, 219, 77, 116, 116, 174, 139, 43, 113, 153, 66, 116, 116, 174, 153, 106, 8, 119, 35, 174, 119, 119]"
"0","[15136, 16210, 20232, 18017, 20232, 16210, 6220, 22146, 20235, 5387, 12096, 20235, 15016]","[1351718068, 1351718488, 1351719748, 1351727857, 1351729107, 1351730385, 1351734352, 1351734859, 1351737420, 1351737718, 1351738156, 1351781449, 1351783127]","[66, 116, 116, 66, 116, 116, 8, 174, 119, 66, 174, 119, 119]"
"0","[22909, 18149, 18924]","[1351819420, 1351819753, 1351820126]","[119, 119, 32]"
"0","[15016, 20235]","[1352092770, 1352094784]","[119, 119]"
"0","[19096, 21104, 5235, 22909, 3498, 22146, 22593, 20235, 20235, 15016]","[1352150080, 1352161322, 1352161811, 1352164091, 1352164849, 1352167696, 1352167697, 1352177058, 1352212266, 1352213870]","[136, 119, 48, 119, 119, 174, 78, 119, 119, 119]"
"0","[4403, 15448, 18017, 16210, 15136, 6220, 24342, 15016, 20235]","[1352230772, 1352231106, 1352252847, 1352254381, 1352256408, 1352256586, 1352257429, 1352259151, 1352261218]","[119, 119, 66, 116, 66, 8, 127, 119, 119]"
"0","[18017, 20232, 20210, 20235, 12096, 21968]","[1352338051, 1352338626, 1352340498, 1352341975, 1352343125, 1352343639]","[66, 116, 116, 119, 174, 32]"
"0","[15016]","[1352431685]","[119]"
"0","[20235, 15016, 20235]","[1352479357, 1352480467, 1352558404]","[119, 119, 119]"
"0","[7633]","[1352735484]","[119]"
"0","[18457, 18457, 22593, 15016, 20235, 20361, 5387, 12096]","[1352736985, 1352746132, 1352772406, 1352777781, 1352779674, 1352780102, 1352780358, 1352780415]","[116, 116, 78, 119, 119, 35, 66, 174]"
"0","[23872, 22587, 22909, 18149, 17519, 18924]","[1353004519, 1353026532, 1353027958, 1353028446, 1353028673, 1353029242]","[43, 77, 119, 119, 62, 32]"
"0","[15016, 23328, 15636, 8053, 22076, 22865, 19276, 10257, 19080]","[1353087129, 1353088200, 1353097517, 1353097964, 1353109446, 1353114619, 1353115877, 1353116638, 1353116900]","[119, 119, 59, 119, 216, 44, 116, 116, 174]"
"0","[5387, 20235, 3498, 1921, 14831, 9829, 11939, 15659, 20235, 12096]","[1353428636, 1353428710, 1353464690, 1353465770, 1353465996, 1353466367, 1353476240, 1353478043, 1353479160, 1353479380]","[66, 119, 119, 119, 116, 116, 116, 119, 119, 174]"
"0","[13597, 22146, 15136, 1626, 22593, 15579, 15016, 20235, 20622, 12096]","[1353544806, 1353545320, 1353547712, 1353548369, 1353549705, 1353550884, 1353552527, 1353553696, 1353556279, 1353556459]","[231, 174, 66, 153, 78, 53, 119, 119, 16, 174]"
"0","[21142, 1921, 3498, 20235, 12096]","[1353641291, 1353641476, 1353642553, 1353644536, 1353644782]","[119, 119, 119, 119, 174]"
"0","[15016, 15136, 22296, 15016]","[1353690444, 1353724872, 1353727157, 1353730188]","[119, 66, 106, 119]"
"0","[20235, 20361, 4005, 11209, 19229, 10614, 11612, 13313, 11084, 11527, 21693, 20235, 12096]","[1353785812, 1353786017, 1353788581, 1353800620, 1353800712, 1353804723, 1353806610, 1353807168, 1353812774, 1353819535, 1353821835, 1353822194, 1353822331]","[119, 35, 116, 66, 153, 119, 119, 62, 216, 136, 119, 119, 174]"
"0","[14666, 15142, 19127, 19868, 11329, 20235, 20235]","[1353869921, 1353888367, 1353891229, 1353893090, 1353907292, 1353909871, 1353940469]","[78, 216, 178, 216, 116, 119, 119]"
"0","[3498, 15016, 20235, 5387, 12096]","[1353981160, 1353987516, 1353989207, 1353989610, 1353989794]","[119, 119, 119, 66, 174]"
"0","[5387]","[1354113208]","[66]"
"0","[20235, 15016, 1597, 18017, 18876, 19274, 20232, 20235, 12096, 20235, 15016]","[1354292516, 1354293523, 1354309267, 1354329466, 1354329968, 1354330918, 1354334137, 1354337391, 1354337773, 1354371099, 1354372247]","[119, 119, 44, 66, 174, 230, 116, 119, 174, 119, 119]"
"0","[20061, 20235, 19620, 20235, 15016, 3498]","[1354417102, 1354419786, 1354420097, 1354458665, 1354460649, 1354461092]","[119, 119, 113, 119, 119, 119]"
"0","[11209, 19127, 20210, 20235, 12096]","[1354497182, 1354502593, 1354502595, 1354504173, 1354504657]","[66, 178, 116, 119, 174]"
"0","[20235, 10257, 2907, 3085, 2907, 6266, 15136, 4778, 22593, 20235, 20361]","[1354564947, 1354566714, 1354567800, 1354572107, 1354573235, 1354574826, 1354582514, 1354583047, 1354583823, 1354593928, 1354594194]","[119, 116, 116, 140, 116, 119, 66, 80, 78, 119, 35]"
"0","[20210, 20235, 12096]","[1354684667, 1354686545, 1354686763]","[116, 119, 174]"
"0","[18457, 16210, 15136, 15016, 20235, 12096, 20235, 4005, 21142]","[1354744784, 1354745842, 1354758220, 1354763767, 1354765767, 1354766023, 1354805501, 1354808434, 1354808900]","[116, 116, 66, 119, 119, 174, 119, 116, 119]"
"0","[22394, 18149, 15659, 5387]","[1354845331, 1354846889, 1354863360, 1354864352]","[119, 119, 119, 231]"
"0","[20232, 15448, 18017, 15448, 14283, 2907, 10257, 23995, 15016, 20235, 20235]","[1354898358, 1354915719, 1354934268, 1354934310, 1354934414, 1354937256, 1354938521, 1354938795, 1354939202, 1354941059, 1354979991]","[116, 119, 66, 119, 119, 116, 116, 113, 119, 119, 119]"
"0","[3498, 5387, 12096, 20235, 18457]","[1355027186, 1355029379, 1355029422, 1355064186, 1355067450]","[119, 231, 174, 119, 116]"
"0","[22611]","[1355084485]","[37]"
"0","[17556, 20736, 14666, 24491, 21104, 22909, 3498, 12096]","[1355165190, 1355167055, 1355169592, 1355176095, 1355186073, 1355187391, 1355188244, 1355199038]","[158, 119, 78, 228, 119, 119, 119, 174]"
"0","[20235, 20232, 15659]","[1355241796, 1355244901, 1355324138]","[119, 116, 119]"
"0","[3498, 3498, 20622]","[1355347497, 1355347753, 1355370270]","[119, 119, 16]"
"0","[15016, 15016, 12096]","[1355502271, 1355540714, 1355542853]","[119, 119, 174]"
"0","[20235, 15136, 19676, 15016, 20235, 12096]","[1355587440, 1355625098, 1355625686, 1355626280, 1355628129, 1355628606]","[119, 66, 44, 119, 119, 174]"
"0","[7633, 20235]","[1355722439, 1355724277]","[119, 119]"
"0","[20235, 20210, 23872, 21157, 19127, 7242, 20611, 12816, 22146, 22593, 20235]","[1355765695, 1355767284, 1355768707, 1355784345, 1355785368, 1355786808, 1355787795, 1355787832, 1355790676, 1355793763, 1355812796]","[119, 116, 43, 174, 178, 230, 174, 230, 174, 78, 119]"
"0","[20235, 15659, 15016, 15136, 15016]","[1355850420, 1355851584, 1355852215, 1355888000, 1355891454]","[119, 119, 119, 66, 119]"
"0","[20235, 14306]","[1355942730, 1355956071]","[119, 119]"
"0","[20235, 21142, 4005, 20235, 12096, 20210]","[1356020250, 1356064506, 1356065027, 1356068167, 1356068381, 1356103994]","[119, 119, 116, 119, 174, 116]"
"0","[20235, 19676, 15016, 12096]","[1356192577, 1356233808, 1356237390, 1356239561]","[119, 44, 119, 174]"
"0","[14666, 19888, 6940, 12096, 15016]","[1356570448, 1356572545, 1356573000, 1356573677, 1356621041]","[78, 119, 119, 174, 119]"
"0","[15764, 15448, 14306, 8913, 20235, 12096]","[1356636678, 1356648080, 1356657094, 1356678867, 1356680454, 1356680548]","[119, 119, 119, 116, 119, 174]"
"0","[5387, 15016, 15016, 20235]","[1356714372, 1356715965, 1356753738, 1356755493]","[231, 119, 119, 119]"
"0","[5407, 20235]","[1356839148, 1356841387]","[228, 119]"
"0","[20235]","[1356974848]","[119]"
"0","[15016, 111, 20592, 16901, 17411, 15016, 12096]","[1357066643, 1357067870, 1357070033, 1357070439, 1357070529, 1357090728, 1357092809]","[119, 116, 119, 116, 116, 119, 174]"
"0","[12096, 15016, 3498]","[1357179517, 1357224816, 1357225286]","[174, 119, 119]"
"0","[15016, 20235, 5387]","[1357253375, 1357254989, 1357255396]","[119, 119, 231]"
"0","[20235, 11329, 13024, 20210, 20235, 20235]","[1357427627, 1357429457, 1357432023, 1357445979, 1357447756, 1357483254]","[119, 116, 62, 116, 119, 119]"
"0","[18017, 11209, 1709, 6886, 4005, 20235]","[1357512693, 1357521610, 1357522332, 1357522862, 1357524663, 1357528211]","[66, 66, 230, 44, 116, 119]"
"0","[6266, 22909, 21104, 23225, 22909, 3498]","[1357582128, 1357588041, 1357588850, 1357597462, 1357604272, 1357605185]","[119, 119, 119, 153, 119, 119]"
"0","[10339, 15448, 20232, 15136, 5387, 12096, 20235]","[1357676559, 1357677133, 1357690166, 1357693433, 1357697952, 1357697989, 1357741741]","[119, 119, 116, 66, 231, 174, 119]"
"0","[22138, 15016, 5387]","[1357773382, 1357784018, 1357786067]","[174, 119, 231]"
"0","[18017, 20232, 15142]","[1357859232, 1357862194, 1357873917]","[66, 116, 216]"
"0","[15016, 3498, 20235, 5387]","[1357923780, 1357955259, 1357957325, 1357957578]","[119, 119, 119, 231]"
"0","[20235, 15016, 3498, 22628, 12816, 4479, 20345]","[1358028111, 1358029023, 1358029699, 1358031507, 1358036453, 1358039993, 1358040778]","[119, 119, 119, 136, 230, 183, 46]"
"0","[21142, 20235]","[1358111975, 1358117828]","[119, 119]"
"0","[20235, 15659, 8913, 8399, 22909, 22593, 20235, 15016]","[1358191852, 1358192995, 1358193278, 1358210929, 1358211298, 1358220949, 1358222632, 1358262881]","[119, 119, 116, 119, 119, 78, 119, 119]"
"0","[20235, 15016]","[1358347451, 1358349303]","[119, 119]"
"0","[15016]","[1358402695]","[119]"
"0","[12096]","[1358482235]","[174]"
"0","[3498, 15016]","[1358744599, 1358744915]","[119, 119]"
"0","[20235, 15016, 22146, 4778, 22593, 15016]","[1358814519, 1358816385, 1358816688, 1358817353, 1358818018, 1358826410]","[119, 119, 174, 80, 78, 119]"
